matchId,summonerName,riotIdGameName,riotIdTagline,teamId,champion,win,kills,deaths,assists,gold,damage_total,damage_magic,damage_physical,damage_true,item0,item1,item2,item3,item4,item5,item6,team_champs,enemy_champs,spell1,spell2,rune_core,rune_sub,rune_shards
KR_7777147221,지면 리폿때림#KR5,지면 리폿때림,KR5,100,Viego,0,8,9,10,11377,16955,2858,13544,552,갈라진 하늘,몰락한 왕의 검,헤르메스의 발걸음,땅굴 채굴기,루비 수정,곡괭이,포로 간식,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']",표식,점멸,정복자,지배,공속 +10%|적응형 능력치 +9|체력 +15~90
KR_7777147221,나의아기고양이준민#jaem,나의아기고양이준민,jaem,100,Malphite,0,5,9,12,10267,16297,12876,1842,1578,악마의 마법서,증폭의 고서,,폭풍 쇄도,악의,그림자불꽃,포로 간식,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']",표식,점멸,어둠의 수확,마법,적응형 능력치 +9|적응형 능력치 +9|체력 +15~90
KR_7777147221,게임하는데 말을 왜 거는 거야#말좀걸지마,게임하는데 말을 왜 거는 거야,말좀걸지마,100,Gnar,0,3,10,13,10030,18893,2412,16006,475,강철심장,헤르메스의 발걸음,삼위일체,덤불 조끼,천 갑옷,,포로 간식,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']",표식,점멸,착취의 손아귀,정밀,공속 +10%|적응형 능력치 +9|체력 +15~90
KR_7777147221,나나나나나나너너무서운해#PraY,나나나나나나너너무서운해,PraY,100,Ambessa,0,4,12,16,11268,15785,0,14040,1744,쇼진의 창,생명선,월식,독사의 송곳니,,,포로 간식,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']",표식,점멸,정복자,지배,적응형 능력치 +9|적응형 능력치 +9|체력 +15~90
KR_7777147221,itemjinseyeon#jisen,itemjinseyeon,jisen,100,Vex,0,7,7,13,11199,16708,15125,1067,515,루덴의 동반자,그림자불꽃,마법사의 신발,망각의 구,마법공학 교류 발전기,에테르 환영,포로 간식,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']",점멸,표식,감전,마법,공속 +10%|적응형 능력치 +9|체력 +15~90
KR_7777147221,동구는공주야#KR1,동구는공주야,KR1,200,Ashe,1,11,7,21,12181,21295,1712,19583,0,크라켄 학살자,루난의 허리케인,광전사의 군화,몰락한 왕의 검,,,포로 간식,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']",정화,점멸,,영감,공속 +10%|적응형 능력치 +9|체력 +15~90
KR_7777147221,뽀 솔#1111,뽀 솔,1111,200,Lulu,1,4,3,36,10868,7289,6286,1003,0,강철의 솔라리 펜던트,월석 재생기,불타는 향로,명석함의 아이오니아 장화,망각의 구,,포로 간식,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']",탈진,점멸,콩콩이 소환,정밀,적응형 능력치 +9|적응형 능력치 +9|5011
KR_7777147221,총 균#KR1,총 균,KR1,200,Zed,1,17,4,23,13227,39856,1358,37349,1148,오만,명석함의 아이오니아 장화,원칙의 원형낫,월식,,,포로 간식,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']",표식,점멸,정복자,지배,스킬가속 +8|적응형 능력치 +9|체력 +15~90
KR_7777147221,AD its Mine#KR1,AD its Mine,KR1,200,Katarina,1,9,10,20,11407,27414,24802,347,2264,폭풍 쇄도,마법사의 신발,그림자불꽃,라바돈의 죽음모자,,,포로 간식,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']",표식,점멸,어둠의 수확,정밀,적응형 능력치 +9|적응형 능력치 +9|체력 +15~90
KR_7777147221,sngh#KR1,sngh,KR1,200,TahmKench,1,6,3,29,11352,21715,16687,4347,680,강철심장,여신의 눈물,헤르메스의 발걸음,끝없는 절망,거인의 허리띠,원기 회복의 구슬,포로 간식,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']",표식,점멸,착취의 손아귀,정밀,공속 +10%|체력 +15~90|체력 +15~90
